Key,English,Chinese,InSimpCn,IsDuplicate,IsNotCardKey,IsGameKey,CardDefault,SimpEn-English,SimpEn-Chinese,SimpCn-English,SimpCn-Chinese
BirdMeat_DismantleActions[0].ActionName,,食用,N,,,x,食用,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[0].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[1].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[2].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[3].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[4].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[5].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[6].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[7].ActionName,,Cod_PictureChange_Exp_DecayCity,N,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[0].ActionName,,Cod_PictureChange_Animal_Biocluster_Monitor,N,,,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[1].ActionName,,Cod_PictureChange_Animal_Biocluster_Monitor,N,,,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[2].ActionName,,Cod_PictureChange_Animal_Biocluster_Monitor,N,,,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[0].ActionName,,Cod_PictureChange_Animal_Biocluster_Seagull,N,,,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[1].ActionName,,Cod_PictureChange_Animal_Biocluster_Seagull,N,,,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[2].ActionName,,Cod_PictureChange_Animal_Biocluster_Seagull,N,,,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[0].ActionName,,Cod_PictureChange_Animal_Biocluster_Vultures1,N,,,,Cod_PictureChange_Animal_Biocluster_Vultures1,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[1].ActionName,,Cod_PictureChange_Animal_Biocluster_Vultures2,N,,,,Cod_PictureChange_Animal_Biocluster_Vultures2,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[2].ActionName,,Cod_PictureChange_Animal_Biocluster_Vultures3,N,,,,Cod_PictureChange_Animal_Biocluster_Vultures3,,,,
CardActionPack_Cod_Nc_SpecialWeapon_Explosives_ExplosivesBox_CardInteractions[0].ActionName,,引爆！,N,,,,引爆！,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[0].ActionName,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[1].ActionNa1me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[2].ActionNa2me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[3].ActionNa3me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[4].ActionNa4me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[5].ActionNa5me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[6].ActionNa6me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[7].ActionNa7me,,Cod_PictureChange_Exp_ParkingLot_GasStation,N,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Sta_AirDrop_DecayCity_Actions[0].ActionName,,Sta_AirDrop_DecayCity,N,,,,Sta_AirDrop_DecayCity,,,,
CardTag_AbandonedVehicles_InGameName,,CardTag_AbandonedVehicles,N,,,,CardTag_AbandonedVehicles,,,,
CardTag_Animal_Monitor_InGameName,,CardTag_Animal_Monitor,N,,,,CardTag_Animal_Monitor,,,,
CardTag_Animal_Seagull_InGameName,,CardTag_Animal_Seagull,N,,,,CardTag_Animal_Seagull,,,,
CardTag_Animal_Vultures_InGameName__T-6zFBOVnCgvHMn2zaafJDS6c+W1g=,,CardTag_Animal_Vultures,N,,,,CardTag_Animal_Vultures,,,,
CardTag_Animal_Vultures_InGameName__T-NGEaDeF8EYi4JQiL//CSLU+GndA=,,CardTag_Decay,N,,,,CardTag_Decay,,,,
CardTag_BasicMaterial_Iron_SecondaryMaterial_InGameName,,CardTag_BasicMaterial_Iron_SecondaryMaterial,N,,,,CardTag_BasicMaterial_Iron_SecondaryMaterial,,,,
CardTag_Bombable_InGameName,,CardTag,N,,,,CardTag,,,,
CardTag_Cod_RemoteWeapon_Silencer_InGameName,,Cod_RemoteWeapon_Silencer,N,,,,Cod_RemoteWeapon_Silencer,,,,
CardTag_ConsumeFood_InGameName,,CardTag_ConsumeFood,N,,,,CardTag_ConsumeFood,,,,
CardTag_DealSystem_Goods_InGameName,,CardTag_DealSystem_Goods,N,,,,CardTag_DealSystem_Goods,,,,
CardTag_Decomposable_InGameName,,CardTag_Decomposable,N,,,,CardTag_Decomposable,,,,
CardTag_ElectricalAppliance_InGameName,,CardTag_ElectricalAppliance,N,,,,CardTag_ElectricalAppliance,,,,
CardTag_ElectricPowerSource_InGameName,,CardTag_ElectricPowerSource,N,,,,CardTag_ElectricPowerSource,,,,
CardTag_Explosives_Grenade_InGameName,,CardTag_Explosives_Grenade,N,,,,CardTag_Explosives_Grenade,,,,
CardTag_FoodSource_InGameName,,CardTag_FoodSource,N,,,,CardTag_FoodSource,,,,
CardTag_InfectedMaterial_Meat_InGameName,,CardTag_InfectedMaterial_Meat,N,,,,CardTag_InfectedMaterial_Meat,,,,
CardTag_Vehicle_EquipmentRemoval_InGameName,,CardTag_Vehicle_EquipmentRemoval,N,,,,CardTag_Vehicle_EquipmentRemoval,,,,
CardTag_Vehicle_InGameName,,CardTag_Vehicle,N,,,,CardTag_Vehicle,,,,
CardTag_Vehicle_OilSuctionDevice_InGameName,,CardTag_Vehicle_OilSuctionDevice,N,,,,CardTag_Vehicle_OilSuctionDevice,,,,
CardTag_Vehicle_TireRemover_InGameName,,Vehicle_TireRemover,N,,,,Vehicle_TireRemover,,,,
CardTag_ZombieCorpse_InGameName,,CardTag_ZombieCorpse,N,,,,CardTag_ZombieCorpse,,,,
Cod_50铸币蓝图_BlueprintFinishedLog.LogText,,I mad,N,,,,I mad,I mad,I mad,,
Cod_50铸币蓝图_CardDescription,,装入五袋铸币,N,,,,装入五袋铸币,trapping,捕兽工作,,
Cod_50铸币蓝图_CardName,,装入5袋铸币,N,,,,装入5袋铸币,trapping,捕兽工作,,
Cod_50铸币蓝图_UnlockConditionsDesc,,需要铸币,N,,,,需要铸币,Need for higher confidence,需要更高信任,,
Cod_79723866f3fc0c14bb0c12e2c3514e66_CardInteractions[0].ActionName,,投掷！,N,,,,投掷！,,,,
Cod_Bp_Bandage_BlueprintFinishedLog.LogText,,我做了一个草木灰敷料,,,,,I made an ash dressing.,I made an ash dressing.,I made an ash dressing.,I made an ash dressing.,我做了一个草木灰敷料
Cod_Bp_Bandage_CardDescription,,无菌伤口敷料，有助于防止伤口感染，并加快伤口愈合。\n,,,,,"Sterile wound dressing, should help protect wounds from infection and help them heal faster.","Sterile wound dressing, should help protect wounds from infection and help them heal faster.\n","Sterile wound dressing, should help protect wounds from infection and help them heal faster.\n","Sterile wound dressing, should help protect wounds from infection and help them heal faster.\n",无菌伤口敷料，有助于防止伤口感染，并加快伤口愈合。\n
Cod_Bp_Bandage_CardName,,绷带,N,,,,绷带,bandage (loanword),绷带,,
Cod_Bp_Bandage_MedicalBandages_BlueprintFinishedLog.LogText,,I made an ash dressing.,N,,,,I made an ash dressing.,I made an ash dressing.,I made an ash dressing.,,
Cod_Bp_Bandage_MedicalBandages_CardDescription,,散发着淡淡消毒水的味道。,N,,,,散发着淡淡消毒水的味道。,It smelled faintly of disinfectant.,散发着淡淡消毒水的味道。,,
Cod_Bp_Bandage_MedicalBandages_CardName,,医用绷带,N,,,,医用绷带,Medical Bandages,医用绷带,,
Cod_Bp_Bandage_MedicalBandages_UnlockConditionsDesc,,Ash Needed,N,,,,Ash Needed,Ash Needed,Ash Needed,,
Cod_Bp_Bandage_UnlockConditionsDesc,,需要灰烬,,,,,Ash Needed,Ash Needed,Ash Needed,Ash Needed,需要灰烬
Cod_Bp_Base_IronPillar_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,N,,,,我制作了雨水收集器来收集雨水。,I made rainwater collectors to collect rainwater.,我制作了雨水收集器来收集雨水。,,
Cod_Bp_Base_IronPillar_CardDescription,,海岸边境上的铁柱。\n\n黄棕色锈迹上爬满了红色丝状植株。,N,,,,海岸边境上的铁柱。\n\n黄棕色锈迹上爬满了红色丝状植株。,Iron pillars on the coastal border. \n\\n Yellowish brown rust covered with red filamentous plants.,海岸边境上的铁柱。\n\n黄棕色锈迹上爬满了红色丝状植株。,,
Cod_Bp_Base_IronPillar_CardName,,铁柱,N,,,,铁柱,iron pillar,铁柱,,
Cod_Bp_Base_IronPillar_UnlockConditionsDesc,,尚未掌握制作方法,N,,,,尚未掌握制作方法,Have not yet mastered the production method,尚未掌握制作方法,,
Cod_Bp_Base_Organizer_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,N,,,,我制作了雨水收集器来收集雨水。,I made rainwater collectors to collect rainwater.,我制作了雨水收集器来收集雨水。,,
Cod_Bp_Base_Organizer_CardDescription,,塑料简易缝合而成的收纳盒。\n\n可以保护存储物不受其他因素干扰。,N,,,,塑料简易缝合而成的收纳盒。\n\n可以保护存储物不受其他因素干扰。,Plastic simple sewn together organizer. \n\n protects the storage from other elements.,塑料简易缝合而成的收纳盒。\n\n可以保护存储物不受其他因素干扰。,,
Cod_Bp_Base_Organizer_CardName,,储物箱,N,,,,储物箱,storage box,储物箱,,
Cod_Bp_Base_Organizer_UnlockConditionsDesc,,需要找到对应材料原型,N,,,,需要找到对应材料原型,Need to find corresponding material prototypes,需要找到对应材料原型,,
Cod_Bp_Base_PlasticTent_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,N,,,,我制作了雨水收集器来收集雨水。,I made rainwater collectors to collect rainwater.,我制作了雨水收集器来收集雨水。,,
Cod_Bp_Base_PlasticTent_CardDescription,,一个临时搭建的家。\n\n末世之中一个宁静栖息地。,N,,,,一个临时搭建的家。\n\n末世之中一个宁静栖息地。,A makeshift home. \n\n A peaceful habitat in the midst of the post-apocalyptic world.,一个临时搭建的家。\n\n末世之中一个宁静栖息地。,,
Cod_Bp_Base_PlasticTent_CardName,,帐篷,N,,,,帐篷,帐篷,帐篷,,
Cod_Bp_Base_PlasticTent_UnlockConditionsDesc,,尚未掌握制作方法,N,,,,尚未掌握制作方法,Have not yet mastered the production method,尚未掌握制作方法,,
